Date,Time,Tag ID,Power
1/26/2018,10:49:06,33,61
1/26/2018,10:49:09,32,64
1/26/2018,10:49:11,33,60
1/26/2018,10:49:16,33,59
1/26/2018,10:49:19,32,64
1/26/2018,10:49:21,33,60
1/26/2018,10:49:24,32,65
1/26/2018,10:49:26,33,58
1/26/2018,10:49:29,32,64
1/26/2018,10:49:30,33,61
1/26/2018,10:49:33,32,64
1/26/2018,10:49:35,33,61
1/26/2018,10:49:39,32,63
1/26/2018,10:49:41,33,60
1/26/2018,10:49:44,32,63
1/26/2018,10:49:45,33,60
1/26/2018,10:49:48,32,64
1/26/2018,10:49:50,33,61
1/26/2018,10:49:56,33,62
1/26/2018,10:49:59,32,65
1/26/2018,10:50:01,33,61
1/26/2018,10:50:04,32,63
1/26/2018,10:50:06,33,60
1/26/2018,10:50:09,32,64
1/26/2018,10:50:11,33,59
1/26/2018,10:50:14,32,63
1/26/2018,10:50:16,33,59
1/26/2018,10:50:19,32,65
1/26/2018,10:50:21,33,61
1/26/2018,10:50:24,32,62
1/26/2018,10:50:25,33,62
1/26/2018,10:50:28,32,64
1/26/2018,10:50:30,33,61
1/26/2018,10:50:36,33,60
1/26/2018,10:50:39,32,61
1/26/2018,10:50:41,33,59
1/26/2018,10:50:43,32,65
1/26/2018,10:50:45,33,61
1/26/2018,10:50:48,32,63
1/26/2018,10:50:51,33,62
1/26/2018,10:50:54,32,62
1/26/2018,10:50:56,33,60
1/26/2018,10:50:59,32,63
1/26/2018,10:51:01,33,61
1/26/2018,10:51:04,32,62
1/26/2018,10:51:06,33,60
1/26/2018,10:51:09,32,64
1/26/2018,10:51:11,33,61
1/26/2018,10:51:16,33,58
1/26/2018,10:51:19,32,64
1/26/2018,10:51:21,33,61
1/26/2018,10:51:23,32,64
1/26/2018,10:51:25,33,59
1/26/2018,10:51:28,32,64
1/26/2018,10:51:31,33,59
1/26/2018,10:51:34,32,64
1/26/2018,10:51:36,33,60
1/26/2018,10:51:39,32,63
1/26/2018,10:51:41,33,59
1/26/2018,10:51:44,32,63
1/26/2018,10:51:46,33,61
1/26/2018,10:51:49,32,64
1/26/2018,10:51:51,33,60
1/26/2018,10:51:56,33,60
1/26/2018,10:51:59,32,64
1/26/2018,10:52:01,33,60
1/26/2018,10:52:04,32,62
1/26/2018,10:52:06,33,62
1/26/2018,10:52:09,32,62
1/26/2018,10:52:11,33,61
1/26/2018,10:52:14,32,63
1/26/2018,10:52:16,33,61
1/26/2018,10:52:18,32,63
1/26/2018,10:52:20,33,60
1/26/2018,10:52:23,32,62
1/26/2018,10:52:26,33,59
1/26/2018,10:52:29,32,64
1/26/2018,10:52:31,33,59
