Date,Time,Tag ID,Power
1/26/2018,11:56:01,30,14
1/26/2018,12:08:45,32,45
1/26/2018,12:08:48,999,102
1/26/2018,12:08:50,32,159
1/26/2018,12:08:53,33,156
1/26/2018,12:08:55,32,158
1/26/2018,12:08:58,33,154
1/26/2018,12:09:00,32,159
1/26/2018,12:09:03,33,152
1/26/2018,12:09:05,32,153
1/26/2018,12:09:08,33,148
1/26/2018,12:09:10,32,153
1/26/2018,12:09:13,33,147
1/26/2018,12:09:15,32,153
1/26/2018,12:09:18,33,151
1/26/2018,12:09:20,32,156
1/26/2018,12:09:23,33,150
1/26/2018,12:09:25,32,154
1/26/2018,12:09:28,33,154
1/26/2018,12:09:30,32,153
1/26/2018,12:09:33,33,149
1/26/2018,12:09:35,32,151
1/26/2018,12:09:38,33,146
1/26/2018,12:09:40,32,155
1/26/2018,12:09:43,33,150
1/26/2018,12:09:45,32,153
1/26/2018,12:09:48,33,146
1/26/2018,12:09:50,32,154
1/26/2018,12:09:53,33,145
1/26/2018,12:09:55,32,149
1/26/2018,12:09:58,33,139
1/26/2018,12:10:00,32,150
1/26/2018,12:10:03,33,135
1/26/2018,12:10:05,32,156
1/26/2018,12:10:08,33,132
1/26/2018,12:10:10,32,150
1/26/2018,12:10:13,33,136
1/26/2018,12:10:15,32,158
1/26/2018,12:10:18,33,107
1/26/2018,12:10:20,999,57
1/26/2018,12:10:23,33,116
1/26/2018,12:10:28,33,146
1/26/2018,12:10:33,33,141
1/26/2018,12:10:35,32,87
1/26/2018,12:10:38,33,139
1/26/2018,12:10:40,32,60
1/26/2018,12:10:43,33,127
1/26/2018,12:10:45,32,95
1/26/2018,12:10:48,33,129
1/26/2018,12:10:50,32,96
1/26/2018,12:10:53,33,132
1/26/2018,12:10:55,32,99
1/26/2018,12:10:58,33,141
1/26/2018,12:11:00,32,106
1/26/2018,12:11:03,33,136
1/26/2018,12:11:08,33,132
1/26/2018,12:11:13,33,136
1/26/2018,12:11:18,33,136
1/26/2018,12:11:23,33,122
1/26/2018,12:11:28,33,134
1/26/2018,12:11:33,33,120
1/26/2018,12:11:38,33,15
1/26/2018,12:11:40,32,39
1/26/2018,12:11:45,32,99
1/26/2018,12:11:50,32,64
1/26/2018,12:11:53,33,80
1/26/2018,12:11:58,33,128
1/26/2018,12:12:00,32,75
1/26/2018,12:12:03,33,110
1/26/2018,12:12:05,32,139
1/26/2018,12:12:10,32,161
1/26/2018,12:12:13,33,109
1/26/2018,12:12:15,32,109
1/26/2018,12:12:18,33,105
1/26/2018,12:12:20,32,128
1/26/2018,12:12:23,33,177
1/26/2018,12:12:25,32,152
